id,quote,author
73,"Make it a rule never to give a child a book you would not read yourself.","George Bernard Shaw"
74,"Books choose their authors; the act of creation is not entirely a rational and conscious one.","Salman Rushdie"
75,"We read to know we are not alone.","C.S. Lewis"
76,"A good book has no ending.","R.D. Cumming"
77,"Reading is the sole means by which we slip, involuntarily, often helplessly, into another's skin.","Joyce Carol Oates"
78,"The book you don't read won't help.","Jim Rohn"
79,"It is what you read when you don't have to that determines what you will be when you can't help it.","Oscar Wilde"
80,"Outside of a dog, a book is man's best friend. Inside of a dog, it's too dark to read.","Groucho Marx"
81,"Show me a family of readers, and I will show you the people who move the world.","Napoleon Bonaparte"
82,"Books are the carriers of civilization.","Henry David Thoreau"
83,"I took a speed reading course and read War and Peace in twenty minutes. It involves Russia.","Woody Allen"
84,"The oldest books are only just out to those who have not read them.","Samuel Butler"
85,"Books let us into their souls and lay open to us the secrets of our own.","William Hazlitt"
86,"I have lost all sense of home, having moved about so much. It means to me now — only that place where the books are kept.","John Steinbeck"
87,"Books are the best of things, well used; abused, among the worst.","Ralph Waldo Emerson"
88,"To read a poem is to hear it with our eyes; to hear it is to see it with our ears.","Octavio Paz"
89,"Some books are to be tasted, others to be swallowed, and some few to be chewed and digested.","Francis Bacon"
90,"When I look back, I am so impressed again with the life-giving power of literature.","Maya Angelou"
91,"Books may well be the only true magic.","Alice Hoffman"
92,"Everything in the world exists in order to end up as a book.","Stéphane Mallarmé"
93,"Books are like mirrors: if a fool looks in, you cannot expect a genius to look out.","J.K. Rowling"
94,"A children's story that can only be enjoyed by children is not a good children's story in the slightest.","C.S. Lewis"
95,"Words are, in my not-so-humble opinion, our most inexhaustible source of magic.","J.K. Rowling"
96,"There is more treasure in books than in all the pirate's loot on Treasure Island.","Walt Disney"
97,"Many a book is like a key to unknown chambers within the castle of one's own self.","Franz Kafka"
98,"The world is a book, and those who do not travel read only one page.","Saint Augustine"
99,"Books were my pass to personal freedom.","Oprah Winfrey"
100,"If I read a book and it makes my whole body so cold no fire can ever warm me, I know that is poetry.","Emily Dickinson"
